dia,hora,partido,inf,sup,med
01,2350,PART,63.16,63.7,63.44
01,2350,RAC,22.05,22.62,22.32
01,2355,AMLO,53.04,53.68,53.37
01,2355,JAMK,15.83,16.39,16.08
01,2355,JHRC,5.25,5.46,5.34
01,2355,PART,63.15,63.68,63.42
01,2355,RAC,22.05,22.61,22.32
02,0000,AMLO,53.12,53.7,53.41
02,0000,JAMK,15.83,16.32,16.06
02,0000,JHRC,5.25,5.43,5.33
02,0000,PART,63.18,63.67,63.43
02,0000,RAC,22.06,22.56,22.31
02,0005,AMLO,53.14,53.71,53.43
02,0005,JAMK,15.82,16.31,16.05
02,0005,JHRC,5.24,5.44,5.33
02,0005,PART,63.2,63.69,63.45
02,0005,RAC,22.05,22.55,22.3
02,0010,AMLO,53.13,53.71,53.42
02,0010,JAMK,15.82,16.31,16.06
02,0010,JHRC,5.24,5.43,5.33
02,0010,PART,63.18,63.68,63.43
02,0010,RAC,22.05,22.56,22.3
02,0015,AMLO,53.17,53.73,53.45
02,0015,JAMK,15.81,16.29,16.05
02,0015,JHRC,5.24,5.42,5.33
02,0015,PART,63.19,63.68,63.44
02,0015,RAC,22.07,22.56,22.31
02,0020,AMLO,53.17,53.73,53.45
02,0020,JAMK,15.81,16.29,16.04
02,0020,JHRC,5.24,5.43,5.33
02,0020,PART,63.2,63.7,63.45
02,0020,RAC,22.06,22.55,22.31
02,0025,AMLO,53.18,53.72,53.45
02,0025,JAMK,15.83,16.28,16.05
02,0025,JHRC,5.24,5.43,5.32
02,0025,PART,63.2,63.69,63.45
02,0025,RAC,22.06,22.55,22.3
02,0030,AMLO,53.18,53.72,53.46
02,0030,JAMK,15.82,16.28,16.05
02,0030,JHRC,5.24,5.42,5.32
02,0030,PART,63.2,63.69,63.45
02,0030,RAC,22.07,22.54,22.3
