dia,hora,partido,inf,sup,med
01,2315,RAC,22,22.63,22.3
01,2320,AMLO,53.01,53.72,53.37
01,2320,JAMK,15.78,16.41,16.07
01,2320,JHRC,5.26,5.6,5.38
01,2320,PART,63.1,63.98,63.52
01,2320,RAC,22.01,22.62,22.3
01,2325,AMLO,52.99,53.69,53.35
01,2325,JAMK,15.8,16.42,16.09
01,2325,JHRC,5.26,5.6,5.38
01,2325,PART,63.11,63.99,63.53
01,2325,RAC,22.01,22.62,22.3
01,2330,AMLO,52.99,53.69,53.35
01,2330,JAMK,15.8,16.42,16.09
01,2330,JHRC,5.26,5.6,5.38
01,2330,PART,63.11,63.99,63.53
01,2330,RAC,22.01,22.62,22.3
01,2335,AMLO,52.99,53.69,53.35
01,2335,JAMK,15.8,16.42,16.09
01,2335,JHRC,5.26,5.6,5.38
01,2335,PART,63.11,63.99,63.53
01,2335,RAC,22.01,22.62,22.3
01,2340,AMLO,53.01,53.71,53.37
01,2340,JAMK,15.8,16.42,16.08
01,2340,JHRC,5.27,5.61,5.39
01,2340,PART,63.14,64.01,63.56
01,2340,RAC,21.98,22.59,22.27
01,2345,AMLO,53.01,53.7,53.36
01,2345,JAMK,15.81,16.43,16.1
01,2345,JHRC,5.27,5.61,5.39
01,2345,PART,63.14,64.01,63.56
01,2345,RAC,21.98,22.58,22.26
01,2350,AMLO,52.98,53.68,53.34
01,2350,JAMK,15.83,16.45,16.11
01,2350,JHRC,5.27,5.61,5.39
01,2350,PART,63.14,64.01,63.55
01,2350,RAC,21.99,22.59,22.27
01,2355,AMLO,52.98,53.67,53.34
01,2355,JAMK,15.84,16.45,16.12
01,2355,JHRC,5.26,5.6,5.38
01,2355,PART,63.13,63.99,63.54
01,2355,RAC,21.99,22.59,22.27
02,0000,AMLO,53.06,53.7,53.39
02,0000,JAMK,15.83,16.4,16.1
02,0000,JHRC,5.25,5.59,5.37
02,0000,PART,63.1,63.91,63.49
02,0000,RAC,21.98,22.55,22.25
02,0005,AMLO,53.07,53.72,53.4
02,0005,JAMK,15.83,16.4,16.09
02,0005,JHRC,5.25,5.59,5.37
02,0005,PART,63.13,63.94,63.52
02,0005,RAC,21.98,22.54,22.24
02,0010,AMLO,53.07,53.71,53.4
02,0010,JAMK,15.83,16.4,16.09
02,0010,JHRC,5.25,5.59,5.36
02,0010,PART,63.12,63.93,63.51
02,0010,RAC,21.98,22.55,22.25
02,0015,AMLO,53.11,53.73,53.43
02,0015,JAMK,15.83,16.37,16.08
02,0015,JHRC,5.25,5.58,5.36
02,0015,PART,63.1,63.88,63.48
02,0015,RAC,21.99,22.55,22.26
